ID	strand	type	start	end	seq_id	neighbours
PF3D7_0100100	+	protein_coding_gene	29510	37126	Pf3D7_01_v3	[]
PF3D7_0100200	-	protein_coding_gene	38982	40207	Pf3D7_01_v3	[]
PF3D7_0100300	-	protein_coding_gene	42367	46507	Pf3D7_01_v3	[]
PF3D7_0100400	+	protein_coding_gene	50363	51636	Pf3D7_01_v3	[]
PF3D7_0100500	-	pseudogene	53169	53280	Pf3D7_01_v3	[]
PF3D7_0100600	-	protein_coding_gene	53778	55006	Pf3D7_01_v3	[]
PF3D7_0100700	-	protein_coding_gene	56690	56893	Pf3D7_01_v3	[]
PF3D7_0100800	+	protein_coding_gene	59772	61003	Pf3D7_01_v3	[]
PF3D7_0100900	-	protein_coding_gene	62187	63400	Pf3D7_01_v3	[]
PF3D7_0101000	-	protein_coding_gene	65817	66989	Pf3D7_01_v3	[]
PF3D7_0101100	-	protein_coding_gene	69304	70417	Pf3D7_01_v3	[]
PF3D7_0101200	+	protein_coding_gene	71624	72426	Pf3D7_01_v3	[]
PF3D7_0101300	+	protein_coding_gene	74295	75622	Pf3D7_01_v3	[]
PF3D7_0101400	-	pseudogene	75982	76809	Pf3D7_01_v3	[]
PF3D7_0101500	+	pseudogene	78241	79891	Pf3D7_01_v3	[]
PF3D7_0101600	-	protein_coding_gene	81765	83106	Pf3D7_01_v3	[]
PF3D7_0101700	-	pseudogene	84791	86152	Pf3D7_01_v3	[]
PF3D7_0101800	-	protein_coding_gene	87203	88177	Pf3D7_01_v3	[]
PF3D7_0101900	-	protein_coding_gene	90242	91420	Pf3D7_01_v3	[]
PF3D7_0102000	-	pseudogene	93113	93875	Pf3D7_01_v3	[]
PF3D7_0102100	+	pseudogene	95050	95899	Pf3D7_01_v3	[]
PF3D7_0102200	+	protein_coding_gene	97590	103615	Pf3D7_01_v3	[]
PF3D7_0102300	+	protein_coding_gene	104058	105792	Pf3D7_01_v3	[]
PF3D7_0102400	-	pseudogene	107197	108348	Pf3D7_01_v3	[]
PF3D7_0102500	-	protein_coding_gene	109005	117516	Pf3D7_01_v3	[]
PF3D7_0102600	-	protein_coding_gene	118812	122534	Pf3D7_01_v3	[]
PF3D7_0102700	+	protein_coding_gene	124394	126213	Pf3D7_01_v3	['PF3D7_0102800']
PF3D7_0102800	-	protein_coding_gene	125835	128373	Pf3D7_01_v3	['PF3D7_0102700']
PF3D7_0102900	-	protein_coding_gene	128569	131554	Pf3D7_01_v3	[]
PF3D7_0103000	-	protein_coding_gene	131609	134133	Pf3D7_01_v3	[]
PF3D7_0103100	-	protein_coding_gene	134155	140371	Pf3D7_01_v3	[]
PF3D7_0103200	-	protein_coding_gene	140494	143049	Pf3D7_01_v3	[]
PF3D7_0103300	-	protein_coding_gene	143389	146959	Pf3D7_01_v3	[]
PF3D7_0103400	-	protein_coding_gene	147031	152795	Pf3D7_01_v3	[]
PF3D7_0103500	+	protein_coding_gene	153669	160630	Pf3D7_01_v3	[]
PF3D7_0103600	+	protein_coding_gene	160673	166273	Pf3D7_01_v3	[]
PF3D7_0103700	+	protein_coding_gene	166497	168687	Pf3D7_01_v3	[]
PF3D7_0103800	-	protein_coding_gene	168768	171442	Pf3D7_01_v3	[]
PF3D7_0103900	+	protein_coding_gene	172470	175055	Pf3D7_01_v3	[]
PF3D7_0104000	+	protein_coding_gene	175609	176376	Pf3D7_01_v3	[]
PF3D7_0104100	+	protein_coding_gene	177187	181825	Pf3D7_01_v3	[]
PF3D7_0104200	-	protein_coding_gene	182205	184820	Pf3D7_01_v3	[]
PF3D7_0104300	+	protein_coding_gene	188420	201324	Pf3D7_01_v3	[]
PF3D7_0104400	+	protein_coding_gene	201354	204250	Pf3D7_01_v3	[]
PF3D7_0104500	-	protein_coding_gene	204368	205612	Pf3D7_01_v3	[]
PF3D7_0104600	+	protein_coding_gene	205812	210273	Pf3D7_01_v3	[]
PF3D7_0104700	+	protein_coding_gene	210870	213005	Pf3D7_01_v3	[]
PF3D7_0104800	+	protein_coding_gene	215143	217616	Pf3D7_01_v3	[]
PF3D7_0104900	-	ncRNA_gene	218517	218824	Pf3D7_01_v3	[]
PF3D7_0105000	-	ncRNA_gene	218894	219223	Pf3D7_01_v3	[]
PF3D7_0105100	+	protein_coding_gene	220727	221928	Pf3D7_01_v3	[]
PF3D7_0105200	-	protein_coding_gene	222086	224501	Pf3D7_01_v3	[]
PF3D7_0105300	-	protein_coding_gene	224638	226017	Pf3D7_01_v3	[]
PF3D7_0105400	-	protein_coding_gene	226036	227419	Pf3D7_01_v3	[]
PF3D7_0105500	-	protein_coding_gene	228485	229519	Pf3D7_01_v3	[]
PF3D7_0105600	-	protein_coding_gene	229943	234464	Pf3D7_01_v3	[]
PF3D7_0105700	+	protein_coding_gene	236742	248183	Pf3D7_01_v3	[]
PF3D7_0105800	-	protein_coding_gene	248434	253057	Pf3D7_01_v3	[]
PF3D7_0105900	+	protein_coding_gene	253089	255771	Pf3D7_01_v3	['PF3D7_0106000']
PF3D7_0106000	-	protein_coding_gene	255113	258624	Pf3D7_01_v3	['PF3D7_0105900']
PF3D7_0106100	-	protein_coding_gene	260105	262008	Pf3D7_01_v3	[]
PF3D7_0106200	-	protein_coding_gene	262750	264323	Pf3D7_01_v3	[]
PF3D7_0106300	-	protein_coding_gene	264487	270234	Pf3D7_01_v3	[]
PF3D7_0106400	+	protein_coding_gene	272296	273701	Pf3D7_01_v3	[]
PF3D7_0106500	+	protein_coding_gene	274094	278747	Pf3D7_01_v3	[]
PF3D7_0106600	+	protein_coding_gene	279115	280014	Pf3D7_01_v3	[]
PF3D7_0106700	+	protein_coding_gene	280595	285875	Pf3D7_01_v3	[]
PF3D7_0106800	+	protein_coding_gene	286637	289063	Pf3D7_01_v3	[]
PF3D7_0106900	+	protein_coding_gene	289849	292802	Pf3D7_01_v3	[]
PF3D7_0107000	+	protein_coding_gene	293262	295139	Pf3D7_01_v3	[]
PF3D7_0107100	-	protein_coding_gene	295177	296959	Pf3D7_01_v3	[]
PF3D7_0107200	+	protein_coding_gene	297189	299513	Pf3D7_01_v3	['PF3D7_0107300']
PF3D7_0107300	-	protein_coding_gene	299464	301151	Pf3D7_01_v3	['PF3D7_0107200']
PF3D7_0107400	+	protein_coding_gene	302509	304236	Pf3D7_01_v3	['PF3D7_0107500']
PF3D7_0107500	-	protein_coding_gene	303437	311928	Pf3D7_01_v3	['PF3D7_0107400']
PF3D7_0107600	+	protein_coding_gene	313824	319525	Pf3D7_01_v3	[]
PF3D7_0107700	+	protein_coding_gene	320168	321508	Pf3D7_01_v3	[]
PF3D7_0107800	+	protein_coding_gene	321757	326180	Pf3D7_01_v3	[]
PF3D7_0107900	-	protein_coding_gene	326323	327365	Pf3D7_01_v3	[]
PF3D7_0108000	-	protein_coding_gene	328171	329995	Pf3D7_01_v3	[]
PF3D7_0108100	+	protein_coding_gene	330597	332834	Pf3D7_01_v3	[]
PF3D7_0108300	+	protein_coding_gene	334374	344369	Pf3D7_01_v3	[]
PF3D7_0108400	-	protein_coding_gene	344373	347320	Pf3D7_01_v3	['PF3D7_0108500']
PF3D7_0108500	+	protein_coding_gene	347246	350568	Pf3D7_01_v3	['PF3D7_0108400', 'PF3D7_0108600']
PF3D7_0108600	-	protein_coding_gene	348892	351747	Pf3D7_01_v3	['PF3D7_0108500']
PF3D7_0108700	-	protein_coding_gene	351787	356984	Pf3D7_01_v3	[]
PF3D7_0108800	+	protein_coding_gene	357279	360804	Pf3D7_01_v3	[]
PF3D7_0108900	-	ncRNA_gene	361987	362586	Pf3D7_01_v3	['PF3D7_0109000']
PF3D7_0109000	+	protein_coding_gene	362217	365209	Pf3D7_01_v3	['PF3D7_0108900']
PF3D7_0109100	+	protein_coding_gene	365266	369336	Pf3D7_01_v3	['PF3D7_0109200']
PF3D7_0109200	-	protein_coding_gene	369251	370907	Pf3D7_01_v3	['PF3D7_0109100']
PF3D7_0109300	-	protein_coding_gene	371146	373063	Pf3D7_01_v3	[]
PF3D7_0109400	-	protein_coding_gene	373864	375683	Pf3D7_01_v3	[]
PF3D7_0109500	-	protein_coding_gene	376164	377704	Pf3D7_01_v3	[]
PF3D7_0109600	-	protein_coding_gene	377795	378599	Pf3D7_01_v3	[]
PF3D7_0109700	-	protein_coding_gene	378653	380086	Pf3D7_01_v3	[]
PF3D7_0109800	+	protein_coding_gene	380254	382568	Pf3D7_01_v3	[]
PF3D7_0109850	+	protein_coding_gene	383092	386632	Pf3D7_01_v3	[]
PF3D7_0109950	+	protein_coding_gene	386708	388186	Pf3D7_01_v3	[]
PF3D7_0110000	+	protein_coding_gene	388192	389559	Pf3D7_01_v3	['PF3D7_0110100']
PF3D7_0110100	-	protein_coding_gene	388887	392185	Pf3D7_01_v3	['PF3D7_0110000']
PF3D7_0110200	+	protein_coding_gene	392323	393620	Pf3D7_01_v3	[]
PF3D7_0110300	-	ncRNA_gene	393216	393490	Pf3D7_01_v3	['PF3D7_0110200']
PF3D7_0110400	-	protein_coding_gene	393695	395222	Pf3D7_01_v3	[]
