contig	start	end	name	score	strand	ID
CM000429	146344	146347	ATG	0	+	cgd1_630-RA-p1-CDS1
CM000429	6974	6977	ATG	0	+	cgd1_30-RA-p1-CDS1
CM000429	661183	661186	ATG	0	+	cgd1_3070-RA-p1-CDS1
CM000429	93432	93435	ATG	0	+	cgd1_420-RA-p1-CDS1
CM000429	742019	742022	ATG	0	+	cgd1_3340-RA-p1-CDS1
CM000429	660934	660937	ATG	0	-	cgd1_3060-RA-p1-CDS1
CM000429	833117	833120	ATG	0	+	cgd1_3720-RA-p1-CDS1
CM000429	106055	106058	ATG	0	-	cgd1_490-RA-p1-CDS1
CM000429	21139	21142	ATG	0	-	cgd1_90-RA-p1-CDS1
CM000429	586485	586488	ATG	0	+	cgd1_2663-RA-p1-CDS1
CM000429	232372	232375	ATG	0	+	cgd1_900-RA-p1-CDS1
CM000429	278558	278561	ATG	0	+	cgd1_1120-RA-p1-CDS1
CM000429	435317	435320	ATG	0	-	cgd1_1880-RA-p1-CDS1
CM000429	285860	285863	ATG	0	-	cgd1_1170-RA-p1-CDS1
CM000429	493983	493986	ATG	0	-	cgd1_2160-RA-p1-CDS1
CM000429	797516	797519	ATG	0	+	cgd1_3590-RA-p1-CDS1
CM000429	466291	466294	ATG	0	-	cgd1_2020-RA-p1-CDS1
CM000429	735117	735120	ATG	0	-	cgd1_3290-RA-p1-CDS1
CM000429	461235	461238	ATG	0	+	cgd1_2000-RA-p1-CDS1
CM000429	404583	404586	ATG	0	-	cgd1_1700-RA-p1-CDS1
CM000429	495337	495340	ATG	0	+	cgd1_2180-RA-p1-CDS1
CM000429	39482	39485	ATG	0	+	cgd1_150-RA-p1-CDS1
CM000429	497257	497260	ATG	0	+	cgd1_2190-RA-p1-CDS1
CM000429	64152	64155	ATG	0	-	cgd1_260-RA-p1-CDS1
CM000429	18726	18729	ATG	0	-	cgd1_80-RA-p1-CDS1
CM000429	675664	675667	ATG	0	+	cgd1_3100-RA-p1-CDS1
CM000429	418697	418700	ATG	0	-	cgd1_1780-RA-p1-CDS1
CM000429	141227	141230	ATG	0	-	cgd1_590-RA-p1-CDS1
CM000429	483770	483773	ATG	0	+	cgd1_2120-RA-p1-CDS1
CM000429	50964	50967	ATG	0	+	cgd1_180-RA-p1-CDS1
CM000429	245793	245796	ATG	0	+	cgd1_970-RA-p1-CDS1
CM000429	235647	235650	ATG	0	+	cgd1_920-RA-p1-CDS1
CM000429	56167	56170	ATG	0	+	cgd1_210-RA-p1-CDS1
CM000429	78115	78118	ATG	0	+	cgd1_350-RA-p1-CDS1
CM000429	648238	648241	ATG	0	+	cgd1_3000-RA-p1-CDS1
CM000429	107788	107791	ATG	0	+	cgd1_500-RA-p1-CDS1
CM000429	222180	222183	ATG	0	-	cgd1_843-RA-p1-CDS1
CM000429	64565	64568	ATG	0	+	cgd1_270-RA-p1-CDS1
CM000429	101219	101222	ATG	0	+	cgd1_470-RA-p1-CDS1
CM000429	842976	842979	ATG	0	+	cgd1_3760-RA-p1-CDS1
CM000429	814649	814652	ATG	0	-	cgd1_3660-RA-p1-CDS1
CM000429	770319	770322	ATG	0	-	cgd1_3500-RA-p1-CDS1
