contig	start	end	name	score	strand	ID
Pf3D7_01_v3	29510	29513	ATG	0	+	PF3D7_0100100.1-p1-CDS1
Pf3D7_01_v3	40205	40208	ATG	0	-	PF3D7_0100200.1-p1-CDS1
Pf3D7_01_v3	43615	43618	ATG	0	-	PF3D7_0100300.1-p1-CDS2
Pf3D7_01_v3	46505	46508	ATG	0	-	PF3D7_0100300.1-p1-CDS1
Pf3D7_01_v3	50363	50366	ATG	0	+	PF3D7_0100400.1-p1-CDS1
Pf3D7_01_v3	55004	55007	ATG	0	-	PF3D7_0100600.1-p1-CDS1
Pf3D7_01_v3	56891	56894	ATG	0	-	PF3D7_0100700.1-p1-CDS1
Pf3D7_01_v3	59772	59775	ATG	0	+	PF3D7_0100800.1-p1-CDS1
Pf3D7_01_v3	63398	63401	ATG	0	-	PF3D7_0100900.1-p1-CDS1
Pf3D7_01_v3	66987	66990	ATG	0	-	PF3D7_0101000.1-p1-CDS1
Pf3D7_01_v3	70415	70418	ATG	0	-	PF3D7_0101100.1-p1-CDS1
Pf3D7_01_v3	71624	71627	ATG	0	+	PF3D7_0101200.1-p1-CDS1
Pf3D7_01_v3	74563	74566	ATG	0	+	PF3D7_0101300.1-p1-CDS1
Pf3D7_01_v3	83104	83107	ATG	0	-	PF3D7_0101600.1-p1-CDS1
Pf3D7_01_v3	88175	88178	ATG	0	-	PF3D7_0101800.1-p1-CDS1
Pf3D7_01_v3	91418	91421	ATG	0	-	PF3D7_0101900.1-p1-CDS1
Pf3D7_01_v3	98819	98822	ATG	0	+	PF3D7_0102200.1-p1-CDS1
Pf3D7_01_v3	104704	104707	ATG	0	+	PF3D7_0102300.1-p1-CDS1
Pf3D7_01_v3	115797	115800	ATG	0	-	PF3D7_0102500.1-p1-CDS1
Pf3D7_01_v3	121247	121250	ATG	0	-	PF3D7_0102600.1-p1-CDS1
Pf3D7_01_v3	124517	124520	ATG	0	+	PF3D7_0102700.1-p1-CDS1
Pf3D7_01_v3	128139	128142	ATG	0	-	PF3D7_0102800.1-p1-CDS1
Pf3D7_01_v3	130838	130841	ATG	0	-	PF3D7_0102900.1-p1-CDS1
Pf3D7_01_v3	133622	133625	ATG	0	-	PF3D7_0103000.1-p1-CDS1
Pf3D7_01_v3	139255	139258	ATG	0	-	PF3D7_0103100.1-p1-CDS1
Pf3D7_01_v3	142217	142220	ATG	0	-	PF3D7_0103200.1-p1-CDS1
Pf3D7_01_v3	146394	146397	ATG	0	-	PF3D7_0103300.1-p1-CDS1
Pf3D7_01_v3	152775	152778	ATG	0	-	PF3D7_0103400.1-p1-CDS1
Pf3D7_01_v3	154176	154179	ATG	0	+	PF3D7_0103500.1-p1-CDS1
Pf3D7_01_v3	161131	161134	ATG	0	+	PF3D7_0103600.1-p1-CDS1
Pf3D7_01_v3	166513	166516	ATG	0	+	PF3D7_0103700.1-p1-CDS1
Pf3D7_01_v3	171271	171274	ATG	0	-	PF3D7_0103800.1-p1-CDS1
Pf3D7_01_v3	172864	172867	ATG	0	+	PF3D7_0103900.1-p1-CDS1
Pf3D7_01_v3	175609	175612	ATG	0	+	PF3D7_0104000.1-p1-CDS1
Pf3D7_01_v3	178087	178090	ATG	0	+	PF3D7_0104100.1-p1-CDS1
Pf3D7_01_v3	184220	184223	ATG	0	-	PF3D7_0104200.1-p1-CDS1
Pf3D7_01_v3	190269	190272	ATG	0	+	PF3D7_0104300.1-p1-CDS1
Pf3D7_01_v3	202536	202539	ATG	0	+	PF3D7_0104400.1-p1-CDS1
Pf3D7_01_v3	205453	205456	ATG	0	-	PF3D7_0104500.1-p1-CDS1
Pf3D7_01_v3	206170	206173	ATG	0	+	PF3D7_0104600.1-p1-CDS1
Pf3D7_01_v3	210870	210873	ATG	0	+	PF3D7_0104700.1-p1-CDS1
Pf3D7_01_v3	215776	215779	ATG	0	+	PF3D7_0104800.1-p1-CDS1
Pf3D7_01_v3	221202	221205	ATG	0	+	PF3D7_0105100.1-p1-CDS1
Pf3D7_01_v3	223958	223961	ATG	0	-	PF3D7_0105200.1-p1-CDS1
Pf3D7_01_v3	225777	225780	ATG	0	-	PF3D7_0105300.1-p1-CDS1
Pf3D7_01_v3	227283	227286	ATG	0	-	PF3D7_0105400.2-p1-CDS1
Pf3D7_01_v3	227283	227286	ATG	0	-	PF3D7_0105400.1-p1-CDS1
Pf3D7_01_v3	229517	229520	ATG	0	-	PF3D7_0105500.1-p1-CDS1
Pf3D7_01_v3	234400	234403	ATG	0	-	PF3D7_0105600.1-p1-CDS1
Pf3D7_01_v3	238666	238669	ATG	0	+	PF3D7_0105700.1-p1-CDS1
Pf3D7_01_v3	252008	252011	ATG	0	-	PF3D7_0105800.1-p1-CDS1
Pf3D7_01_v3	253584	253587	ATG	0	+	PF3D7_0105900.1-p1-CDS1
Pf3D7_01_v3	258541	258544	ATG	0	-	PF3D7_0106000.1-p1-CDS1
Pf3D7_01_v3	261807	261810	ATG	0	-	PF3D7_0106100.1-p1-CDS1
Pf3D7_01_v3	264221	264224	ATG	0	-	PF3D7_0106200.1-p1-CDS1
Pf3D7_01_v3	269171	269174	ATG	0	-	PF3D7_0106300.1-p1-CDS1
Pf3D7_01_v3	272454	272457	ATG	0	+	PF3D7_0106400.1-p1-CDS1
Pf3D7_01_v3	274315	274318	ATG	0	+	PF3D7_0106500.1-p1-CDS1
Pf3D7_01_v3	279115	279118	ATG	0	+	PF3D7_0106600.1-p1-CDS1
Pf3D7_01_v3	281155	281158	ATG	0	+	PF3D7_0106700.1-p1-CDS1
Pf3D7_01_v3	286951	286954	ATG	0	+	PF3D7_0106800.1-p1-CDS1
Pf3D7_01_v3	290386	290389	ATG	0	+	PF3D7_0106900.1-p1-CDS1
Pf3D7_01_v3	293642	293645	ATG	0	+	PF3D7_0107000.1-p1-CDS1
Pf3D7_01_v3	294882	294885	ATG	0	+	PF3D7_0107000.1-p1-CDS6
Pf3D7_01_v3	296929	296932	ATG	0	-	PF3D7_0107100.1-p1-CDS1
Pf3D7_01_v3	297362	297365	ATG	0	+	PF3D7_0107200.1-p1-CDS1
Pf3D7_01_v3	300866	300869	ATG	0	-	PF3D7_0107300.1-p1-CDS1
Pf3D7_01_v3	302937	302940	ATG	0	+	PF3D7_0107400.1-p1-CDS1
