gene_id	wart_change	wart_before	wart_after	p_inter_treatment	p_same_treatment	tes	tes_curve_r2	tes_curve_coeff	average_expression	cannonical_mods	wam_before	wam_after	wam_change
PF3D7_0600200.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0600300.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	1	[]	0.0	0.0	0.0
PF3D7_0600400.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0600500.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0600600.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0600700.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0601000.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0601100.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0601200.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	12	[]	0.0	0.0	0.0
PF3D7_0601300.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0601500.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	4	[]	0.0	0.0	0.0
PF3D7_0601600.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	0	[]	0.0	0.0	0.0
PF3D7_0601900.1	2.6841837944056435	0.2706750230068047	0.7265415103052398	2.442930279554482e-213	0.10142096169209955	79550	[np.float64(0.9346592459300246), np.float64(0.8848461473529573), np.float64(0.806162572170831), np.float64(0.7052420569501827)]	[np.float64(0.17817345006464466), np.float64(0.07616903409895), np.float64(0.23742127754734887), np.float64(0.16585905885849797)]	881	[79446, 79459, 79541]	0.8013071895424837	0.43086300930381777	0.5377001665863305
PF3D7_0602000.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	23	[81394]	0.0	0.0	0.0
PF3D7_0602100.1	1.7723610723158023	0.8355265323672374	1.4808547008547008			99346	[inf, np.float64(0.7223440369455623), np.float64(0.9857021612824824), np.float64(0.9569079558234904)]	[np.float64(1.4776174235131474), np.float64(0.25142794981266786), np.float64(0.017193885169315203), np.float64(0.02024457515873382)]	138	[96892]	0.8604651162790697	0.2666666666666667	0.30990990990990996
PF3D7_0602200.1	2.1508641882441384	0.13945223540692797	0.29994281910735265	3.9076371647863e-14	0.6463414891424613	99441	[np.float64(0.9705563144276064), np.float64(0.9706369483485808), np.float64(0.9294438459461456), np.float64(0.9545361866227267)]	[np.float64(0.052744157157869606), np.float64(0.053404773700820335), np.float64(0.11134296814153652), np.float64(0.09687105937171377)]	274	[99331, 99569, 99708]	0.8290598290598291	0.4978540772532189	0.6005044024600681
PF3D7_0602300.1	0.0	0.0	0.0	0.0	0.0	0	[]	[]	47	[99331, 99569, 99708]	0.0	0.0	0.0
PF3D7_0602400.1	2.358884287660955	0.02837490829053558	0.06693312533036494	0.06473511467917444	0.9143068395734508	100913	[np.float64(0.9148225417935558), np.float64(0.9718852280607226), np.float64(0.9394116759405233), np.float64(0.9583935048275601)]	[np.float64(86.2683231062936), np.float64(219.61108134078393), np.float64(8.17023178227474), np.float64(173.49832051547082)]	144	[100990]	0.8660714285714286	0.5684210526315789	0.6563212154096582
PF3D7_0602500.1	0.6555843054322015	0.8531825431346962	0.5593330849478391	2.356255628985037e-25	8.992776800248832e-14	107542	[np.float64(0.7810730804844415), np.float64(0.7836052517070488), np.float64(0.8469011036482552), np.float64(0.7734353401628573)]	[np.float64(0.12225156356774337), np.float64(0.5614167228487582), np.float64(0.5301669260822153), np.float64(0.3598908226689092)]	189	[107545, 107575]	0.7313432835820897	0.28888888888888886	0.39501133786848064
