contig	start	end	name	score	strand	ID
CM000429	147271	147274	TAA	0	+	cgd1_630-RA-p1-CDS1
CM000429	11924	11927	TAA	0	+	cgd1_30-RA-p1-CDS1
CM000429	672520	672523	TGA	0	+	cgd1_3070-RA-p1-CDS1
CM000429	93884	93887	TAA	0	+	cgd1_420-RA-p1-CDS2
CM000429	93975	93978	TAA	0	+	cgd1_420-RA-p1-CDS3
CM000429	742934	742937	TAG	0	+	cgd1_3340-RA-p1-CDS1
CM000429	659536	659539	TAG	0	-	cgd1_3060-RA-p1-CDS2
CM000429	834385	834388	TAA	0	+	cgd1_3720-RA-p1-CDS2
CM000429	105665	105668	TAA	0	-	cgd1_490-RA-p1-CDS1
CM000429	18868	18871	TAG	0	-	cgd1_90-RA-p1-CDS1
CM000429	587097	587100	TAA	0	+	cgd1_2663-RA-p1-CDS3
CM000429	232687	232690	TAG	0	+	cgd1_900-RA-p1-CDS1
CM000429	280277	280280	TAG	0	+	cgd1_1120-RA-p1-CDS1
CM000429	434708	434711	TAA	0	-	cgd1_1880-RA-p1-CDS1
CM000429	284738	284741	TAA	0	-	cgd1_1170-RA-p1-CDS1
CM000429	491736	491739	TAA	0	-	cgd1_2160-RA-p1-CDS1
CM000429	798851	798854	TAA	0	+	cgd1_3590-RA-p1-CDS1
CM000429	465673	465676	TAA	0	-	cgd1_2020-RA-p1-CDS1
CM000429	732930	732933	TAA	0	-	cgd1_3290-RA-p1-CDS1
CM000429	463326	463329	TAA	0	+	cgd1_2000-RA-p1-CDS1
CM000429	402255	402258	TAA	0	-	cgd1_1700-RA-p1-CDS1
CM000429	497116	497119	TAG	0	+	cgd1_2180-RA-p1-CDS1
CM000429	42467	42470	TAA	0	+	cgd1_150-RA-p1-CDS1
CM000429	500188	500191	TAG	0	+	cgd1_2190-RA-p1-CDS1
CM000429	62769	62772	TAA	0	-	cgd1_260-RA-p1-CDS1
CM000429	18285	18288	TAA	0	-	cgd1_80-RA-p1-CDS1
CM000429	677494	677497	TAA	0	+	cgd1_3100-RA-p1-CDS1
CM000429	417317	417320	TAA	0	-	cgd1_1780-RA-p1-CDS1
CM000429	133646	133649	TAA	0	-	cgd1_590-RA-p1-CDS1
CM000429	486557	486560	TAA	0	+	cgd1_2120-RA-p1-CDS1
CM000429	52548	52551	TGA	0	+	cgd1_180-RA-p1-CDS1
CM000429	248292	248295	TAA	0	+	cgd1_970-RA-p1-CDS1
CM000429	236844	236847	TAA	0	+	cgd1_920-RA-p1-CDS1
CM000429	56662	56665	TAG	0	+	cgd1_210-RA-p1-CDS1
CM000429	79822	79825	TGA	0	+	cgd1_350-RA-p1-CDS1
CM000429	648673	648676	TAA	0	+	cgd1_3000-RA-p1-CDS1
CM000429	109126	109129	TAA	0	+	cgd1_500-RA-p1-CDS1
CM000429	222095	222098	TAG	0	-	cgd1_843-RA-p1-CDS1
CM000429	65071	65074	TAA	0	+	cgd1_270-RA-p1-CDS2
CM000429	104015	104018	TAA	0	+	cgd1_470-RA-p1-CDS1
CM000429	846453	846456	TAA	0	+	cgd1_3760-RA-p1-CDS1
CM000429	814034	814037	TGA	0	-	cgd1_3660-RA-p1-CDS1
CM000429	768258	768261	TGA	0	-	cgd1_3500-RA-p1-CDS1
CM000429	531756	531759	TGA	0	+	cgd1_2403-RA-p1-CDS3
CM000429	656413	656416	TAA	0	-	cgd1_3040-RA-p1-CDS1
CM000429	589981	589984	TAG	0	-	cgd1_2690-RA-p1-CDS1
CM000429	578777	578780	TAG	0	+	cgd1_2610-RA-p1-CDS1
